m,xi_d,dtheta_deg,depth_frac,r1_mm,r2_mm,eta_bar,delta_eta,ratio_split_over_mean,B_signed,B_sign,psi_lower_deg,theta0_hat_deg,s_bar_radial_pct,s_bar_azavg_pct
2,0.2,90,0.5,16.632,22.631999999999998,-0.09592543735955932,3.627711353112062e-18,3.781803297402998e-17,-1.1302815072172088e-09,-,0.0,0.0,24.810964083175797,6.202741020793949
2,0.5,10,0.1,22.980000000000004,28.980000000000004,-0.0011508944901769949,0.0025188691368522847,2.18861864258722,784800.9191916442,+,67.91831180523293,22.918311805232936,7.684310018903591,0.2134530560806553
2,0.5,10,0.25,22.980000000000004,28.980000000000004,-0.002318093827321547,0.005642199679647698,2.4339824441735414,1757933.1256501032,+,67.91831180523293,22.918311805232936,16.392958412098302,0.4553599558916195
2,0.5,10,0.5,22.980000000000004,28.980000000000004,-0.0030537091693951424,0.00943070172962649,3.0882776343414715,2938311.9899916947,+,67.91831180523293,22.918311805232936,24.810964083175808,0.6891934467548835
2,0.5,20,0.1,22.980000000000004,28.980000000000004,-0.0023017889803539898,0.004733925481250924,2.0566287881536813,1474943.2651007718,+,67.91831180523293,22.918311805232936,7.684310018903591,0.4269061121613106
2,0.5,20,0.25,22.980000000000004,28.980000000000004,-0.004636187654643094,0.010603866807931118,2.2871953419123265,3303833.572017018,+,67.91831180523293,22.918311805232936,16.392958412098302,0.910719911783239
2,0.5,20,0.5,22.980000000000004,28.980000000000004,-0.006107418338790285,0.01772392164832583,2.9020317039288424,5522220.189123906,+,67.91831180523293,22.918311805232936,24.810964083175808,1.378386893509767
2,0.5,30,0.1,22.980000000000004,28.980000000000004,-0.0034526834705309846,0.006378000547311463,1.8472589803694333,1987185.6853944943,+,67.91831180523293,22.918311805232936,7.684310018903591,0.6403591682419658
2,0.5,30,0.25,22.980000000000004,28.980000000000004,-0.006954281481964641,0.014286551102771295,2.0543532987300406,4451242.930208179,+,67.91831180523293,22.918311805232936,16.392958412098302,1.3660798676748582
2,0.5,30,0.5,22.980000000000004,28.980000000000004,-0.00916112750818543,0.023879375039012305,2.6065978251777615,7440067.134157702,+,67.91831180523293,22.918311805232936,24.810964083175808,2.06758034026465
2,0.5,45,0.1,22.980000000000004,28.980000000000004,-0.005179025205796477,0.0073646806657637065,1.422020626105661,2294604.3807845647,+,67.91831180523292,22.918311805232925,7.684310018903591,0.9605387523629488
2,0.5,45,0.25,22.980000000000004,28.980000000000004,-0.01043142222294696,0.016496688249952707,1.5814419067098464,5139852.607968222,+,67.91831180523293,22.918311805232936,16.392958412098302,2.049119801512288
2,0.5,45,0.5,22.980000000000004,28.980000000000004,-0.013741691262278142,0.027573527213707573,2.006559941380632,8591049.525389675,+,67.91831180523293,22.918311805232936,24.810964083175808,3.1013705103969755
2,0.5,60,0.1,22.980000000000004,28.980000000000004,-0.006905366941061969,0.006378000547311463,0.9236294901847166,1987185.6853944946,+,67.91831180523293,22.918311805232936,7.684310018903591,1.2807183364839316
2,0.5,60,0.25,22.980000000000004,28.980000000000004,-0.013908562963929281,0.014286551102771298,1.0271766493650205,4451242.93020818,+,67.91831180523293,22.918311805232936,16.392958412098302,2.7321597353497165
2,0.5,60,0.5,22.980000000000004,28.980000000000004,-0.01832225501637086,0.023879375039012305,1.3032989125888808,7440067.134157702,+,67.91831180523293,22.918311805232936,24.810964083175808,4.1351606805293
2,0.5,90,0.1,22.980000000000004,28.980000000000004,-0.010358050411592955,9.019132604069923e-19,8.707365040409066e-17,2.8100799102373117e-10,+,0.0,45.0,7.684310018903591,1.9210775047258977
2,0.5,90,0.25,22.980000000000004,28.980000000000004,-0.02086284444589392,2.020261646183633e-18,9.683538845448502e-17,6.294504044437458e-10,+,0.0,45.0,16.392958412098302,4.098239603024576
2,0.5,90,0.5,22.980000000000004,28.980000000000004,-0.027483382524556284,3.3767831843469415e-18,1.2286636047545458e-16,1.0521001302584853e-09,+,0.0,45.0,24.810964083175808,6.202741020793951
2,0.8,10,0.1,29.328000000000003,35.328,0.0007379330251649524,0.0047857629801240885,6.485362244160725,1491094.210050256,+,67.91831180523293,22.918311805232936,7.684310018903591,0.2134530560806553
2,0.8,10,0.25,29.328000000000003,35.328,0.002197657476536535,0.0114311597028836,5.201520175427375,3561592.1887313332,+,67.91831180523293,22.918311805232936,16.392958412098302,0.4553599558916195
2,0.8,10,0.5,29.328000000000003,35.328,0.005393876029367849,0.021353127667767324,3.9587724210765494,6652967.387667457,+,67.91831180523293,22.918311805232936,24.810964083175808,0.6891934467548835
2,0.8,20,0.1,29.328000000000003,35.328,0.001475866050329905,0.008994292314505967,6.094247043961372,2802340.452161637,+,67.91831180523293,22.918311805232936,7.684310018903591,0.4269061121613106
2,0.8,20,0.25,29.328000000000003,35.328,0.00439531495307307,0.02148355283964991,4.887830125718128,6693603.795999132,+,67.91831180523293,22.918311805232936,16.392958412098302,0.910719911783239
