rail,mode,f_Hz,mass_total_g,ndof,phi2_max_all_per_kg,phi2_max_surface_per_kg,m_eff_all_g,m_eff_surface_g,antinode_r_mm,antinode_z_mm,phi2_max_all_times_mass,config,bc,mesh_size_mm,m_limit_all_half_floor_0p05pct_mg,m_limit_surface_half_floor_0p05pct_mg,m_limit_all_half_floor_0p05pct_pct_of_part,m_limit_all_floor_0p1pct_mg,m_limit_surface_floor_0p1pct_mg,m_limit_all_floor_0p1pct_pct_of_part,m_limit_all_half_tight_0p015pct_mg,m_limit_surface_half_tight_0p015pct_mg,m_limit_all_half_tight_0p015pct_pct_of_part,dff_pct_all_0p2g,dff_pct_surface_0p2g,dff_pct_all_0p5g,dff_pct_surface_0p5g,dff_pct_all_2g,dff_pct_surface_2g,mass_norm_dev,mode_kind,eb_tip_anchor_per_kg
free_free_hex,0,3603.410649171758,61.52498507951416,37926,77.68407890710014,77.68407890710014,12.872650536229791,12.872650536229791,36.559999999999995,6.1000000000000005,4.779511795675137,hex_asbuilt,free-free,,12.87265053622979,12.87265053622979,0.02092263902151838,25.74530107245958,25.74530107245958,0.04184527804303676,3.8617951608689367,3.8617951608689367,0.006276791706455513,0.7768407890710015,0.7768407890710015,1.9421019726775037,1.9421019726775037,7.768407890710015,7.768407890710015,4.440892098500626e-15,,
free_free_hex,1,3603.410649179452,61.52498507951416,37926,68.19774535077956,68.19774535077956,14.663241355801935,14.663241355801935,36.56,6.1000000000000005,4.195865265163218,hex_asbuilt,free-free,,14.663241355801937,14.663241355801937,0.023832986447459254,29.326482711603873,29.326482711603873,0.04766597289491851,4.39897240674058,4.39897240674058,0.007149895934237775,0.6819774535077956,0.6819774535077956,1.704943633769489,1.704943633769489,6.819774535077956,6.819774535077956,4.440892098500626e-15,,
free_free_hex,2,6197.103932064902,61.52498507951416,37926,53.89969809500088,53.89969809500088,18.552979614792104,18.552979614792104,36.56,6.1000000000000005,3.3161781210852466,hex_asbuilt,free-free,,18.5529796147921,18.5529796147921,0.030155195634447456,37.1059592295842,37.1059592295842,0.06031039126889491,5.565893884437631,5.565893884437631,0.009046558690334237,0.5389969809500088,0.5389969809500088,1.347492452375022,1.347492452375022,5.389969809500088,5.389969809500088,4.440892098500626e-15,,
free_free_hex,3,7620.511140428668,61.52498507951416,37926,115.36639238471429,115.36639238471429,8.66803563264146,8.66803563264146,15.4,6.1000000000000005,7.097915570146922,hex_asbuilt,free-free,,8.66803563264146,8.66803563264146,0.014088643209647261,17.33607126528292,17.33607126528292,0.028177286419294522,2.600410689792438,2.600410689792438,0.004226592962894177,1.153663923847143,1.153663923847143,2.884159809617857,2.884159809617857,11.536639238471428,11.536639238471428,4.440892098500626e-15,,
free_free_hex,4,7620.511140493623,61.52498507951416,37926,136.74741474577203,136.74741474577203,7.312752506942132,7.312752506942132,15.4,6.1000000000000005,8.413382651895759,hex_asbuilt,free-free,,7.312752506942132,7.312752506942132,0.011885825729971685,14.625505013884265,14.625505013884265,0.02377165145994337,2.1938257520826396,2.1938257520826396,0.003565747718991505,1.3674741474577206,1.3674741474577206,3.418685368644301,3.418685368644301,13.674741474577203,13.674741474577203,4.440892098500626e-15,,
free_free_hex,5,7684.69215450915,61.52498507951416,37926,74.73301339321662,74.73301339321662,13.380967186996477,13.380967186996477,36.559999999999995,6.1000000000000005,4.597947533964784,hex_asbuilt,free-free,,13.380967186996479,13.380967186996479,0.021748834509594885,26.761934373992958,26.761934373992958,0.04349766901918977,4.014290156098943,4.014290156098943,0.006524650352878465,0.7473301339321663,0.7473301339321663,1.8683253348304156,1.8683253348304156,7.4733013393216625,7.4733013393216625,4.440892098500626e-15,,
free_free_hex,6,9337.120391580176,61.52498507951416,37926,135.32446106680175,135.32446106680175,7.389647016634773,7.389647016634773,36.56,0.0,8.325835448028272,hex_asbuilt,free-free,,7.389647016634773,7.389647016634773,0.012010806678107245,14.779294033269545,14.779294033269545,0.02402161335621449,2.2168941049904314,2.2168941049904314,0.0036032420034321734,1.3532446106680176,1.3532446106680176,3.3831115266700436,3.3831115266700436,13.532446106680174,13.532446106680174,4.440892098500626e-15,,
free_free_hex,7,9995.683614679072,61.52498507951416,37926,99.5432764706215,99.5432764706215,10.045881906400105,10.045881906400105,36.559999999999995,6.1000000000000005,6.124398599620941,hex_asbuilt,free-free,,10.045881906400107,10.045881906400107,0.016328133836061774,20.091763812800213,20.091763812800213,0.03265626767212355,3.013764571920032,3.013764571920032,0.004898440150818531,0.9954327647062151,0.9954327647062151,2.4885819117655377,2.4885819117655377,9.95432764706215,9.95432764706215,4.440892098500626e-15,,
free_free_hex,8,9995.683614690217,61.52498507951416,37926,118.05022723943021,118.05022723943021,8.470970563841385,8.470970563841385,36.56,0.0,7.263038469539199,hex_asbuilt,free-free,,8.470970563841387,8.470970563841387,0.013768342329370102,16.941941127682774,16.941941127682774,0.027536684658740204,2.541291169152416,2.541291169152416,0.004130502698811029,1.1805022723943022,1.1805022723943022,2.9512556809857555,2.9512556809857555,11.805022723943022,11.805022723943022,4.440892098500626e-15,,
free_free_hex,9,11182.069946991338,61.52498507951416,37926,242.74080541703978,242.74080541703978,4.119620507487212,4.119620507487212,36.56,0.0,14.934624431472622,hex_asbuilt,free-free,,4.119620507487212,4.119620507487212,0.006695849665242606,8.239241014974423,8.239241014974423,0.013391699330485212,1.2358861522461635,1.2358861522461635,0.0020087548995727815,2.427408054170398,2.427408054170398,6.068520135425995,6.068520135425995,24.27408054170398,24.27408054170398,4.440892098500626e-15,,
