xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.5,0.05,0.003,20.0,d_optimal_4,gaussian_radial,4,45418187.130948395,27.922916878072737,8.643573526417804,0.7577963432100544,0.4144987490759734,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.003,20.0,all_measurable,gaussian_radial,5,65576036.91009756,30.00532030355063,8.994479761372762,0.7050083642453968,0.3789328902640777,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.5,0.05,0.003,20.0,freq_only,pocket,3,631.2107756897301,1.851687687226928,7.327430783093686,11.254437129984753,11.914114102514144,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.5,0.05,0.003,20.0,freq_plus_splitting,pocket,6,3204.519082104019,3.518882550864816,4.571638564696679,5.9883944154564945,6.731222834942632,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,66489672630.66004,45.423399224502695,124.97347183905609,0.46583619337292453,0.019310595812931996,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.01,0.0001,20.0,d_optimal_4,gaussian_radial,4,254402374233.83624,55.372507460692155,164.50238520275516,0.38213726709775264,0.012318999468889622,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.0001,20.0,all_measurable,gaussian_radial,5,346243491949.37103,64.12820236817626,143.08452875689008,0.32996285087828503,0.011667514874018828,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.0001,20.0,freq_only,pocket,3,25277225.698694263,17.964495557524963,15.578823235944682,1.1766508352511886,0.4384656226489635,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.01,0.0001,20.0,freq_plus_splitting,pocket,6,130792548.78558068,19.215975349698358,30.97181351351845,1.100674808714712,0.22900088468640242,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.01,0.0003,20.0,default_m0_3,gaussian_radial,4,820860155.9340736,15.141133074834231,124.9734718390561,1.3975085801187734,0.05793178743879599,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.01,0.0003,20.0,d_optimal_4,gaussian_radial,4,3140770052.2695904,18.457502486897386,164.50238520275514,1.1464118012932578,0.03695699840666886,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.0003,20.0,all_measurable,gaussian_radial,5,4274611011.72064,21.376067456058756,143.08452875689005,0.989888552634855,0.035002544622056486,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.0003,20.0,freq_only,pocket,3,312064.5147986953,5.988165185841655,15.578823235944679,3.5299525057535646,1.31539686794689,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.01,0.0003,20.0,freq_plus_splitting,pocket,6,1614722.8245133397,6.40532511656612,30.971813513518455,3.3020244261441363,0.6870026540592072,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.01,0.001,20.0,default_m0_3,gaussian_radial,4,6648967.263065998,4.54233992245027,124.97347183905605,4.658361933729244,0.19310595812931997,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.01,0.001,20.0,d_optimal_4,gaussian_radial,4,25440237.42338369,5.5372507460692155,164.50238520275514,3.8213726709775266,0.1231899946888962,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.001,20.0,all_measurable,gaussian_radial,5,34624349.19493707,6.412820236817626,143.08452875689005,3.2996285087828503,0.11667514874018829,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.001,20.0,freq_only,pocket,3,2527.7225698694283,1.7964495557524964,15.578823235944682,11.766508352511885,4.384656226489634,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.01,0.001,20.0,freq_plus_splitting,pocket,6,13079.254878558057,1.9215975349698353,30.97181351351847,11.006748087147123,2.2900088468640245,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.01,0.003,20.0,default_m0_3,gaussian_radial,4,82086.01559340757,1.5141133074834232,124.97347183905607,13.975085801187735,0.5793178743879599,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.01,0.003,20.0,d_optimal_4,gaussian_radial,4,314077.0052269588,1.8457502486897381,164.50238520275516,11.46411801293258,0.36956998406668873,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.003,20.0,all_measurable,gaussian_radial,5,427461.10117206286,2.137606745605875,143.08452875689005,9.898885526348549,0.35002544622056486,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
0.8,0.01,0.003,20.0,freq_only,pocket,3,31.206451479869475,0.5988165185841654,15.578823235944682,35.299525057535654,13.1539686794689,eta_m1|eta_m2|eta_m3,0|1|2|3|4,None
0.8,0.01,0.003,20.0,freq_plus_splitting,pocket,6,161.4722824513341,0.6405325116566117,30.971813513518473,33.02024426144136,6.8700265405920735,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,None
0.8,0.05,0.0001,20.0,default_m0_3,gaussian_radial,4,1662241815766.5044,227.0817560129931,25.002452667094634,0.09316723867458489,0.019310595812931996,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,None
0.8,0.05,0.0001,20.0,d_optimal_4,gaussian_radial,4,6360059355845.919,276.8306946921281,32.90804626878823,0.07642745341955053,0.012318999468889619,m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,None
