arm,h_over_L,a_bar,coupling,shear_flex,convention,c_MM,c_QQ,c_MQ,ratio_f1,ratio_f2,ratio_f3
modeI+II_c0,0.2,0.1,0.0,True,tada,1.5272483012915935e-05,1.7115434713739828e-11,0.0,0.9792434416812315,0.9993147836973525,0.9943921241495932
modeI+II_c0,0.2,0.2,0.0,True,tada,5.862070251272612e-05,6.901742877462308e-11,0.0,0.9266697462143241,0.9972492512739672,0.9802479781401198
modeI+II_c0,0.2,0.3,0.0,True,tada,0.00013529189125259882,1.5781792489268173e-10,0.0,0.8513009029449967,0.9937477953556766,0.9604779327971124
modeI+II_c0,0.2,0.4,0.0,True,tada,0.00026374017474664765,2.8831754912975914e-10,0.0,0.757961584031547,0.9886601784104849,0.9372754670038094
modeI+II_c0,0.2,0.5,0.0,True,tada,0.0004863082094607801,4.701209248079078e-10,0.0,0.6501731541526218,0.9816627481788559,0.9126242354307554
modeI+II_c0,0.2,0.6,0.0,True,tada,0.0009058166017343153,7.220878589197187e-10,0.0,0.5312639095166423,0.9721046971980598,0.8881552931054418
modeI,0.03333333333333333,0.1,0.0,False,dimarogonas,0.0026599725490991507,0.0,0.0,0.9970151038164249,0.9999737157276406,0.9991219244849657
modeI,0.03333333333333333,0.2,0.0,False,dimarogonas,0.010113064725201577,0.0,0.0,0.9887918461715344,0.9999018040485417,0.996709124004317
modeI,0.03333333333333333,0.3,0.0,False,dimarogonas,0.023311236927897324,0.0,0.0,0.9747144532626946,0.9997797354688092,0.9926017233006676
modeI,0.03333333333333333,0.4,0.0,False,dimarogonas,0.045235238860131505,0.0,0.0,0.9525996543760593,0.9995909007998256,0.9862154033676077
modeI,0.03333333333333333,0.5,0.0,False,dimarogonas,0.08282616834520723,0.0,0.0,0.9179419143810408,0.999302160267836,0.9763962468505608
modeI,0.03333333333333333,0.6,0.0,False,dimarogonas,0.1537228728920286,0.0,0.0,0.8617068532647355,0.9988528014942084,0.9610523752215387
modeI+II_c0,0.03333333333333333,0.1,0.0,True,dimarogonas,0.0026599725490991507,8.280430901981034e-11,0.0,0.997014826941445,0.9999701813470091,0.9991177108911713
modeI+II_c0,0.03333333333333333,0.2,0.0,True,dimarogonas,0.010113064725201577,3.3074100599586106e-10,0.0,0.9887904759054055,0.9998875240696187,0.9966921950064893
modeI+II_c0,0.03333333333333333,0.3,0.0,True,dimarogonas,0.023311236927897324,7.553485127972514e-10,0.0,0.9747113670043865,0.9997472158371556,0.9925630655044213
modeI+II_c0,0.03333333333333333,0.4,0.0,True,dimarogonas,0.045235238860131505,1.3736281271457983e-09,0.0,0.9525944179919889,0.9995319705591016,0.9861451114770791
modeI+II_c0,0.03333333333333333,0.5,0.0,True,dimarogonas,0.08282616834520723,2.224144762931721e-09,0.0,0.9179343064869927,0.9992073160475075,0.9762825922958198
modeI+II_c0,0.03333333333333333,0.6,0.0,True,dimarogonas,0.1537228728920286,3.4039702696337115e-09,0.0,0.8616972450553189,0.9987090177547239,0.9608791683679127
modeI+II_c0.5,0.03333333333333333,0.1,0.5,True,dimarogonas,0.0026599725490991507,8.280430901981034e-11,2.3465783011643715e-07,0.9969820562596213,0.9999605214124643,0.9991785637865945
modeI+II_c0.5,0.03333333333333333,0.2,0.5,True,dimarogonas,0.010113064725201577,3.3074100599586106e-10,9.144404301148361e-07,0.9886658600948426,0.9998505624835858,0.9969260439224094
modeI+II_c0.5,0.03333333333333333,0.3,0.5,True,dimarogonas,0.023311236927897324,7.553485127972514e-10,2.0981008165095173e-06,0.9744375609061764,0.9996650526144149,0.9930865836294724
modeI+II_c0.5,0.03333333333333333,0.4,0.5,True,dimarogonas,0.045235238860131505,1.3736281271457983e-09,3.941332149046667e-06,0.9521143709019279,0.9993852270542711,0.9870896760441296
