xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.5,0.01,0.001,20.0,d_optimal_4,gaussian_radial,4,124898704.04287992,19.393791131712437,29.713481321491816,1.090943671516064,0.19055531752116103,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,all_measurable,gaussian_radial,5,178732874.36697438,20.902421754267895,30.59912495384414,1.0120966427040297,0.1862106052839385,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,freq_only,pocket,3,2103.7040090852392,1.1087863672741558,37.30753560662487,19.073496215015936,3.8385831952806906,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.01,0.001,20.0,freq_plus_splitting,pocket,6,10014.264658299742,2.05375438245901,23.72534443474602,10.301343939898592,2.2386970782041216,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.01,0.003,20.0,default_m0_3,gaussian_radial,4,738629.3337711178,4.978181694446188,34.6794170530096,4.2475240648011345,0.9536463995446076,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.01,0.003,20.0,d_optimal_4,gaussian_radial,4,1541959.309171355,6.464597043904145,29.713481321491816,3.272831014548193,0.5716659525634832,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.003,20.0,all_measurable,gaussian_radial,5,2206578.69588857,6.967473918089296,30.59912495384415,3.036289928112089,0.5586318158518155,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.01,0.003,20.0,freq_only,pocket,3,25.971654433151112,0.36959545575805186,37.307535606624874,57.22048864504781,11.515749585842071,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.01,0.003,20.0,freq_plus_splitting,pocket,6,123.63289701604627,0.6845847941530033,23.725344434746017,30.904031819695778,6.7160912346123665,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.05,0.0001,20.0,default_m0_3,gaussian_radial,4,14646322325135.365,743.1589365132332,6.929483813338229,0.0279286231242597,0.03260188344244102,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.05,0.0001,20.0,d_optimal_4,gaussian_radial,4,30473155023770.555,974.9692653902064,5.807334738886748,0.021631761133776458,0.01952239629745839,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.0001,20.0,all_measurable,gaussian_radial,5,43598268813594.945,1048.5780082534955,6.005278213837935,0.02005428522771033,0.019102302344966453,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.0001,20.0,freq_only,pocket,3,511280728.3086816,55.550630616807844,7.3274307830936865,0.375147904332825,0.39713713675047146,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.5,0.05,0.0001,20.0,freq_plus_splitting,pocket,6,2595660456.504261,105.56647652594448,4.571638564696678,0.1996131471818831,0.2243740944980877,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.5,0.05,0.0003,20.0,default_m0_3,gaussian_radial,4,180818794137.47278,247.71964550441118,6.929483813338225,0.08378586937277908,0.09780565032732308,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.5,0.05,0.0003,20.0,d_optimal_4,gaussian_radial,4,376211790416.9199,324.98975513006894,5.807334738886743,0.06489528340132936,0.05856718889237516,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.0003,20.0,all_measurable,gaussian_radial,5,538250232266.6036,349.52600275116515,6.005278213837935,0.06016285568313099,0.05730690703489936,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.5,0.05,0.0003,20.0,freq_only,pocket,3,6312107.756897307,18.51687687226929,7.327430783093682,1.1254437129984751,1.1914114102514144,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
