block,p_depth_frac,t_f_mm,s_mm,t_f_over_s,d_K_asbuilt,d_K_thin_face,d_K_first_order,dK_asbuilt_over_thin,dK_asbuilt_over_first_order,d_M,zeta_asbuilt,zeta_thin_face,d_K_monolithic,d_M_monolithic,zeta_monolithic,d_K_sandwich,d_M_sandwich,zeta_sandwich,d_M_asbuilt,dK_ratio_mono_over_sw,dK_ratio_mono_over_asbuilt,d_K,dM_ratio_sw_over_mono,dM_ratio_asbuilt_over_mono,dM_ratio_asbuilt_over_sw,law,m,n,xi_star,r_star_mm,xi_d,s_bar,sigma_rel,cond2,det_F,crlb_xi_mm,crlb_s_pp,crlb_xi_ratio_sw_over_mono,crlb_s_ratio_sw_over_mono,cond2_ratio_sw_over_mono,crlb_xi_ratio_asbuilt_over_mono,crlb_s_ratio_asbuilt_over_mono,cond2_ratio_asbuilt_over_mono,abs_err_over_floor_max,abs_err_over_floor_m0,worst_mode,d_K_local_target,depth_mm_monolithic,depth_mm_sandwich,depth_mm_asbuilt,depth_ratio_sw_over_mono,depth_ratio_asbuilt_over_mono
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.2,0.01,0.001,204.0431067765737,140295545.98282287,2.776183678099305,0.3700469345615646,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.01,0.001,,,,,1.1044765703115775,1.1869543873368646,1.089558450635183,1.0572089905173712,1.1022738378501193,1.0488967717245268,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.2,0.05,0.001,39.628138695673314,3963690343.422958,0.5262378665910286,0.33689463781368456,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.2,0.05,0.001,42.691289213413704,3290831896.3584495,0.5715114182039563,0.38876970846002246,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.2,0.05,0.001,41.454584664927175,3534777729.994627,0.5534527875882409,0.36802727150787506,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.05,0.001,,,,,1.086032485473176,1.1539801018591063,1.0772973603747589,1.0517160066293039,1.0924105942921183,1.0460896229136616,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,0.5,0.01,0.001,33.21068710567141,75586648.35155654,1.3067109878367764,0.3139650365324792,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich,,,,,0.5,0.01,0.001,8.09550989651,64968426.32028494,0.6646351239255694,0.5753854858051529,,,,,,,,,,,,,,,
identifiability,,,,,,,,,,,,,,,,,,,,,,,,,,sandwich_asbuilt,,,,,0.5,0.01,0.001,16.307078110673658,68594408.35934141,0.9356223092534378,0.4608399499280707,,,,,,,,,,,,,,,
identifiability_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.01,0.001,,,,,0.5086320771097627,1.8326419150357534,0.24376219229524837,0.7160131949317534,1.4678065908794196,0.49101899213307415,,,,,,,,,
