sigma_rel,xi_d,s_bar,sigma_min,sigma_max,cond2,det_F,tr_Finv,corr,crlb_xi_mm,crlb_s_pp,mass_coupling
0.001,0.2,0.01,7.811103064233698,1427.344587758275,182.73278127566272,124303226.48142378,0.016390351587843834,0.9785129135732475,2.7080499830318834,0.3399065837825603,exact
0.001,0.2,0.05,38.665044909429795,1438.2449006200704,37.19754894864496,3092450264.57558,0.0006693861510304944,0.978646823975087,0.5426828848356183,0.3411165536609202,exact
0.001,0.2,0.15,108.04122030421323,1530.0712080010526,14.161920827002962,27327647525.44241,8.609562182943648e-05,0.9791209450854526,0.18221383694279122,0.345574430157719,exact
0.001,0.5,0.01,14.934545083338561,517.9213174420721,34.67941705300961,59828976.03546062,0.004487215885805206,0.7940703594706195,1.4158413549337117,0.3178821331815358,exact
0.001,0.5,0.05,74.31589365132334,514.97078213061,6.9294838133382255,1464632232.51353,0.00018483667946649922,0.7945197610442816,0.27928623124259694,0.3260188344244102,exact
0.001,0.5,0.15,192.07002225021972,567.5664477995466,2.954997563649719,11883725212.355904,3.021128137006293e-05,0.7901087153327909,0.08765350793020824,0.3612710447994465,exact
0.001,0.8,0.01,18.59729969259057,361.8873719776676,19.459135356185538,45294621.70693739,0.0028989828064431645,-0.5931399243691791,1.1369804936197172,0.34347080874874897,exact
0.001,0.8,0.05,85.7878624529851,404.8443644880304,4.719133370526629,1206223790.7923524,0.00014197905737663516,-0.6877844574298438,0.24113527849659655,0.3480608802427251,exact
0.001,0.8,0.15,162.167729386869,709.2242277640173,4.373399260416877,13228055184.237282,4.00132423345707e-05,-0.8873841238016954,0.10930682327745297,0.3650820097820914,exact
0.001,0.95,0.01,5.597726540266238,430.7242997496703,76.94629179387965,5813291.548860785,0.03191905229209191,0.9063535865212023,3.778635454820918,0.5496956668214746,exact
0.001,0.95,0.05,29.43486184088629,494.7233886268254,16.807396321447424,212055181.43963477,0.0011582722981749952,0.9053082972080296,0.7129532768192817,0.47983459574624077,exact
0.001,0.95,0.15,101.68416439515482,829.869728635061,8.161248445825885,7120762390.184411,9.816693739944742e-05,0.9112267917795329,0.19945612651642156,0.3052164702249579,exact
0.003,0.2,0.01,2.6037010214112315,475.7815292527584,182.7327812756628,1534607.7343385578,0.14751316429059544,0.978512913573248,8.124149949095676,1.0197197513476841,exact
0.003,0.2,0.05,12.888348303143264,479.41496687335683,37.197548948644965,38178398.32809367,0.006024475359274459,0.9786468239750871,1.628048654506856,1.0233496609827613,exact
0.003,0.2,0.15,36.01374010140438,510.023736000351,14.161920827002977,337378364.51163423,0.0007748605964649304,0.9791209450854526,0.5466415108283744,1.0367232904731583,exact
0.003,0.5,0.01,4.978181694446188,172.64043914735737,34.6794170530096,738629.3337711178,0.04038494297224686,0.7940703594706197,4.2475240648011345,0.9536463995446076,exact
