sigma_rel,xi_d,s_bar,sigma_min,sigma_max,cond2,det_F,tr_Finv,corr,crlb_xi_mm,crlb_s_pp,mass_coupling
0.0003,0.8,0.05,75.6939186709977,1892.5336187585308,25.002452667094634,20521503898.35188,0.0001748123863253094,0.40965359060587203,0.2795017160237546,0.05793178743879599,None
0.0003,0.8,0.15,226.78448324572616,1895.0143824242898,8.35601428855694,184693535085.16672,1.972191776911028e-05,0.40965359060587203,0.0931672386745849,0.05793178743879599,None
0.0003,0.95,0.01,4.301941133744242,1385.0785581491953,321.96594864692554,35504037.130841374,0.05403501331051893,0.9979841738897527,4.912825327147518,1.1389978794380746,None
0.0003,0.95,0.05,20.917710342188627,1424.2778787197199,68.08956885912673,887600928.2709888,0.0022859428846798624,0.9979841738897529,0.9825650654295294,1.1389978794381046,None
0.0003,0.95,0.15,52.05993990101535,1716.8267291794243,32.97788534607856,7988408354.438379,0.0003693106466857417,0.997984173889753,0.32752168847652025,1.138997879438141,None
0.001,0.2,0.01,8.191874833281927,1438.1132298621678,175.55361368796864,138788275.34139198,0.01490210007747717,0.9747204617258729,2.582249067934658,0.3113176637607215,None
0.001,0.2,0.05,40.658746935334115,1448.7465137396596,35.6318534863808,3469706883.5347695,0.000605388197124957,0.9747204617258729,0.5164498135869336,0.3113176637607226,None
0.001,0.2,0.15,115.12065274606351,1535.021296452887,13.334021826986003,31227361951.813,7.588034970450053e-05,0.9747204617258729,0.17214993786231123,0.31131766376072273,None
0.001,0.5,0.01,12.165415578688513,671.5634204768845,55.20266990741652,66746417.936989546,0.006759095678882842,0.6565981815844336,1.7391405195752483,0.19744999292846493,None
0.001,0.5,0.05,60.644777101315555,673.5821688237032,11.107010381098283,1668660448.424742,0.0002741065311272289,0.6565981815844335,0.3478281039150496,0.1974499929284649,None
0.001,0.5,0.15,177.24876266768413,691.3883043175982,3.9006664639676587,15017944035.82266,3.3921747877021064e-05,0.6565981815844338,0.11594270130501654,0.19744999292846493,None
0.001,0.8,0.01,4.54233992245027,567.6719903817589,124.97347183905605,6648967.263065998,0.04846950041491875,0.4096535906058717,4.658361933729244,0.19310595812931997,None
0.001,0.8,0.05,22.70817560129931,567.7600856275591,25.002452667094627,166224181.5766497,0.001942359848058994,0.4096535906058718,0.931672386745849,0.19310595812931997,None
0.001,0.8,0.15,68.03534497371783,568.504314727287,8.356014288556944,1496017634.189851,0.000219132419656781,0.4096535906058718,0.3105574622486164,0.19310595812931997,None
0.001,0.95,0.01,1.2905823401232706,415.52356744475856,321.96594864692605,287582.7007597887,0.6003890367835995,0.9979841738897529,16.376084423825816,3.796659598127092,None
0.001,0.95,0.05,6.275313102656581,427.283363615916,68.08956885912681,7189567.5189948585,0.0253993653853323,0.9979841738897528,3.275216884765129,3.7966595981270523,None
