arm,convention,a_bar,width_mm,ratio_f1,ratio_f2,ratio_f3,shift_f1_pct,shift_f2_pct,shift_f3_pct,vane_width_mm
c_3d_notch_w2.0,fem,0.5,0.25,0.866356947758509,0.9990831959123928,0.966145584534802,13.364305224149097,0.09168040876071926,3.3854415465197962,2.0
c_3d_notch_w2.0,fem,0.5,1.0,0.7693527325112229,0.9981685453007968,0.9540702686541256,23.064726748877707,0.18314546992032055,4.592973134587441,2.0
c_3d_notch_w4.1,fem,0.5,0.25,0.8670886593934976,0.9987896740876624,0.967833770021858,13.291134060650245,0.12103259123376064,3.2166229978142002,4.1000000000000005
c_3d_notch_w4.1,fem,0.5,1.0,0.7715582406009346,0.9976209353281384,0.9133373586778842,22.844175939906542,0.23790646718615527,8.666264132211577,4.1000000000000005
d_2d_strain_slit,fem,0.5,0.0,0.8970471590866355,0.998993788005812,0.9701569365289263,10.295284091336454,0.10062119941880443,2.9843063471073683,
d_2d_stress_slit,fem,0.5,0.0,0.8972063932532037,0.9990142479972544,0.9700210979023872,10.279360674679626,0.09857520027456435,2.997890209761278,
a_exact_spring_EB,dimarogonas,0.6,0.0,0.8615580437557624,0.9987842215365988,0.9607563040231821,13.844195624423762,0.12157784634011515,3.924369597681787,
a_exact_spring_EB,tada,0.6,0.0,0.8327685853185748,0.9985506867529405,0.9531746959796371,16.723141468142522,0.1449313247059547,4.682530402036289,
b_timoshenko_modeI,dimarogonas,0.6,0.0,0.8617068294147656,0.9988528021017861,0.9610523762235333,13.829317058523438,0.11471978982139364,3.8947623776466656,
b_timoshenko_modeI,tada,0.6,0.0,0.8329395052090791,0.9986322950719887,0.9535256546494254,16.706049479092087,0.1367704928011304,4.64743453505746,
b_timoshenko_modeI+II,dimarogonas,0.6,0.0,0.8616972319998562,0.9987090173722442,0.9608791683499073,13.830276800014385,0.12909826277558434,3.9120831650092724,
b_timoshenko_modeI+II,tada,0.6,0.0,0.8329284661096112,0.9984501452917365,0.9533058411677026,16.707153389038876,0.15498547082635206,4.669415883229744,
b_timoshenko_modeI+II_c0.9,dimarogonas,0.6,0.0,0.8598443745238442,0.9981068016258094,0.9649886501763483,14.015562547615579,0.18931983741905523,3.5011349823651727,
b_timoshenko_modeI+II_c0.9,tada,0.6,0.0,0.8307994828058313,0.9977438266959734,0.9582078730870339,16.920051719416872,0.22561733040266096,4.179212691296607,
d_2d_strain_slit,fem,0.6,0.0,0.8308784819132493,0.9983683027294714,0.951206698048028,16.91215180867507,0.1631697270528587,4.879330195197196,
d_2d_stress_slit,fem,0.6,0.0,0.8311167045055292,0.9984006883516338,0.9509797567970234,16.88832954944708,0.15993116483662417,4.902024320297659,
a_exact_spring_EB,dimarogonas,0.625,0.0,0.8424959250625202,0.9986288290473816,0.9557100628593399,15.750407493747975,0.13711709526184057,4.42899371406601,
a_exact_spring_EB,tada,0.625,0.0,0.8108513755221474,0.9983775029539602,0.9475640123882723,18.914862447785264,0.16224970460397836,5.243598761172774,
b_timoshenko_modeI,dimarogonas,0.625,0.0,0.842659679411288,0.9987060805062263,0.9560427771635749,15.734032058871195,0.12939194937736653,4.395722283642511,
b_timoshenko_modeI,tada,0.625,0.0,0.811037276342174,0.9984687398826201,0.9479549065527395,18.896272365782597,0.15312601173799179,5.204509344726049,
b_timoshenko_modeI+II,dimarogonas,0.625,0.0,0.8426497545993381,0.9985474639617198,0.9558514625905095,15.735024540066188,0.14525360382802166,4.414853740949054,
b_timoshenko_modeI+II,tada,0.625,0.0,0.8110259739637016,0.9982676702424524,0.947712011335097,18.897402603629843,0.1732329757547557,5.228798866490303,
b_timoshenko_modeI+II_c0.9,dimarogonas,0.625,0.0,0.8406722623013664,0.9978947012943042,0.9603452698066693,15.932773769863362,0.21052987056957573,3.9654730193330656,
b_timoshenko_modeI+II_c0.9,tada,0.625,0.0,0.8087806641765086,0.9975094073885895,0.953029804909066,19.121933582349136,0.24905926114104915,4.697019509093403,
c_3d_notch_w2.0,fem,0.625,0.25,0.7537292251490232,0.9979160283274756,0.9372406073788402,24.627077485097683,0.20839716725243873,6.2759392621159815,2.0
c_3d_notch_w2.0,fem,0.625,1.0,0.6121555297228222,0.994698675374072,0.9222742996671563,38.78444702771778,0.5301324625928028,7.7725700332843655,2.0
c_3d_notch_w4.1,fem,0.625,0.25,0.7545201013615158,0.99744545459181,0.9552071531504376,24.547989863848418,0.2554545408190001,4.479284684956242,4.1000000000000005
c_3d_notch_w4.1,fem,0.625,1.0,0.6144976724078842,0.9939182092137128,0.8621373185999438,38.550232759211575,0.6081790786287233,13.78626814000562,4.1000000000000005
d_2d_strain_slit,fem,0.625,0.0,0.8091968789208344,0.998171146659603,0.9450707489032606,19.080312107916562,0.1828853340396952,5.492925109673941,
d_2d_stress_slit,fem,0.625,0.0,0.8094585631063876,0.9982072428659828,0.9448142133754807,19.054143689361236,0.17927571340171644,5.518578662451934,
