config,n_vane,vane_mode,vane_arc_cells,modulation_depth,wrap_deg,n_theta,n_r,n_dof,mode,rigid,f_Hz,c_rotation,h_index,h_index_raw,deg_protected,m_dominant,m_share,alias_orders,alias_share,psi_deg,purity
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,25,False,14120.765989479101,0.4999999999999999,1,1.0,2,5,0.6347481857557613,1|5|7|11,0.9999999999902344,17.27085031118577,0.6347481857557613
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,26,False,14392.832477762366,1.0,0,0.0,1,6,0.8721853034113777,0|6|12,0.9999999998779319,23.8887007701842,0.8721853034113777
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,27,False,14903.630276147382,-0.4999999999999999,2,1.9999999999999998,2,2,0.5656313425647467,2|4|8|10,0.9999999988606038,53.69996646719175,0.5656313425647467
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,28,False,14903.630276159833,-0.4999999999999998,2,1.9999999999999998,2,2,0.5656313428385791,2|4|8|10,0.9999999997341783,8.699966469919662,0.5656313428385791
c6_asbuilt,6,discrete,-1,1.0,60.0,108,18,37926,29,False,19046.519773983717,1.0,0,0.0,1,6,0.7585523613546302,0|6|12,0.9999999999363043,9.681387720090994,0.7585523613546302
c6_web,6,web,-1,0.0,60.0,108,18,43092,0,True,0.01179126213090314,0.6749694848428421,1,0.7924703237965249,2,1,0.6559007834123813,1|5|7|11,0.6559007834124171,59.911495201329274,0.6559007834123813
c6_web,6,web,-1,0.0,60.0,108,18,43092,1,True,0.011969509835550812,0.9007688772251886,0,0.4290113752915276,2,1,0.6373909210297138,0|6|12,0.3626090789691399,28.030913965573074,0.6373909210297138
c6_web,6,web,-1,0.0,60.0,108,18,43092,2,True,0.012802689333485074,0.5676115914296551,1,0.9236026311430023,2,1,0.8796104444820326,1|5|7|11,0.8796104444820716,124.37584907025814,0.8796104444820326
c6_web,6,web,-1,0.0,60.0,108,18,43092,3,True,0.012938610496182678,0.5171737340143066,1,0.9809523101857873,2,1,0.7296361105856827,1|5|7|11,0.7296361105857242,79.44078291934274,0.7296361105856827
c6_web,6,web,-1,0.0,60.0,108,18,43092,4,True,0.013568159715526454,0.6927904865022877,1,0.7691432000082311,2,1,0.6174838807101057,1|5|7|11,0.6174838807101275,115.66790140054374,0.6174838807101057
c6_web,6,web,-1,0.0,60.0,108,18,43092,5,True,0.01434008671073141,0.6466858259857194,1,0.8284634850174115,2,1,0.6683863942863199,1|5|7|11,0.6683863942863544,175.55982743002332,0.6683863942863199
c6_web,6,web,-1,0.0,60.0,108,18,43092,6,False,4731.961215400824,-0.49999999999999994,2,1.9999999999999998,2,2,0.9999999999944856,2|4|8|10,0.9999999999951569,56.650837239433734,0.9999999999944856
c6_web,6,web,-1,0.0,60.0,108,18,43092,7,False,4731.9612154121005,-0.5000000000000001,2,2.0,2,2,0.9999999999964311,2|4|8|10,0.9999999999965854,11.650837239425622,0.9999999999964311
c6_web,6,web,-1,0.0,60.0,108,18,43092,8,False,9022.79942699789,1.0,0,0.0,1,0,0.9999999999193233,0|6|12,0.9999999999238631,0.0,0.9999999999193233
c6_web,6,web,-1,0.0,60.0,108,18,43092,9,False,12045.19451313391,-1.0,3,3.0,1,3,0.9999999999770296,3|9,0.9999999999774429,26.961803166618424,0.9999999999770296
c6_web,6,web,-1,0.0,60.0,108,18,43092,10,False,12045.194513139495,-1.0,3,3.0,1,3,0.9999999999769988,3|9,0.9999999999774027,56.96180316664448,0.9999999999769988
c6_web,6,web,-1,0.0,60.0,108,18,43092,11,False,15420.503971048385,-0.49999999999999994,2,1.9999999999999998,2,2,0.9999999868675621,2|4|8|10,0.9999999884698467,71.05854535343,0.9999999868675621
c6_web,6,web,-1,0.0,60.0,108,18,43092,12,False,15420.503971119058,-0.5,2,2.0,2,2,0.9999999979461622,2|4|8|10,0.999999998045543,26.058545355348457,0.9999999979461622
c6_web,6,web,-1,0.0,60.0,108,18,43092,13,False,15834.498804464194,0.49999999999999994,1,1.0,2,1,0.9999999999029394,1|5|7|11,0.9999999999213962,15.155837019683613,0.9999999999029394
c6_web,6,web,-1,0.0,60.0,108,18,43092,14,False,15834.498804571538,0.5,1,1.0,2,1,0.9999999999689034,1|5|7|11,0.9999999999740495,105.15583701966415,0.9999999999689034
