xi_c,half_xi,depth_frac,r1_mm,r2_mm,s_bar_pct,m,n,matched,purity,mac,ndof,nr,ntheta,nz,shape_exact,eta_lin,eta_kirchhoff_exact,eta_3d,e_lin_abs,e_lin_rel,e_modelform_abs,e_modelform_rel,e_total_abs,e_total_rel,delta_modelform,kappa_modelform,ritz_n_trial,ritz_abs_change,ritz_ntrial_rel_change,e_pert_a2_gaussian_rel
0.8,0.1,0.25,30.212000000000003,34.444,11.5625,2,0,True,0.9999999999177076,0.999840603731494,99648,20,48,4,True,0.0542767472302285,0.0575853170314983,0.0477861623809225,0.0033085698012698,0.0574550939688344,0.0097991546505757,0.2050625989269198,0.0064905848493059,0.1358256140672458,-0.0097991546505757,0.829832409445349,36,2.4486051769745387e-05,0.0004252134577352,0.0459812188210028
0.8,0.1,0.25,30.212000000000003,34.444,11.5625,3,0,True,0.999999999972195,0.9996101347803624,99648,20,48,4,True,-0.0141131059562967,-0.020070253530004,-0.0261121496994483,0.0059571475737072,0.2968147644374123,0.0060418961694442,0.2313825647825516,0.0119990437431515,0.4595195677591065,-0.0060418961694442,1.3010373616064168,36,6.238239720424144e-05,0.0031082017529565,0.1713098042306084
0.8,0.1,0.5,30.212000000000003,34.444,17.499999999999996,0,0,True,0.9999999970222756,0.999008216207082,95616,20,48,4,True,0.1736584319143082,0.1994224292704713,0.2043662610752536,0.0257639973561631,0.129193077480869,0.0049438318047823,0.0241910371054928,0.0307078291609454,0.1502588000552494,0.0049438318047823,1.0247907510848595,36,0.0001008419673369,0.0005056701380373,0.1230001371869902
0.8,0.1,0.5,30.212000000000003,34.444,17.499999999999996,1,0,True,0.9999999986453314,0.998809862985651,95616,20,48,4,True,0.1766072692667611,0.2042355515227871,0.1885345724425742,0.027628282256026,0.1352765571421263,0.0157009790802129,0.0832790446696205,0.011927303175813,0.0632632149174974,-0.0157009790802129,0.923123183191438,36,7.62116022419157e-05,0.0003731554162518,0.1206270012652969
0.8,0.1,0.5,30.212000000000003,34.444,17.499999999999996,2,0,True,0.999999999828668,0.9980062968365604,95616,20,48,4,True,0.1337419816709407,0.1522990104031245,0.1109816181766518,0.0185570287321838,0.1218460230507389,0.0413173922264726,0.3722904108381884,0.0227603634942888,0.2050822818068905,-0.0413173922264726,0.728708728197849,36,8.508605814072645e-05,0.0005586776822482,0.0888666072452786
0.8,0.1,0.5,30.212000000000003,34.444,17.499999999999996,3,0,True,0.999999999960196,0.996285768230651,95616,20,48,4,True,0.0300641243394502,0.0211473481245509,-0.0003756914886144,0.0089167762148992,0.4216498523778167,0.0215230396131654,57.28913288011913,0.0304398158280647,81.02343744949668,-0.0215230396131654,-0.0177654184535003,36,0.0001791951117176,0.0084736445753008,0.3318771612240698
0.9,0.1,0.25,32.328,36.56,11.5625,0,0,True,0.9999999994027492,0.9999979260706036,99072,20,48,4,True,0.1305206538665999,0.1532665978218368,0.1594392977337104,0.0227459439552369,0.1484077044737283,0.0061726999118736,0.0387150470405548,0.0289186438671105,0.181377140254402,0.0061726999118736,1.040274267189313,36,0.0002083578216889,0.0013594470331437,0.103743318370268
0.9,0.1,0.25,32.328,36.56,11.5625,1,0,True,0.9999999997540148,0.9999961144129748,99072,20,48,4,True,0.1348159641876165,0.1585061458465355,0.1610780525347075,0.023690181658919,0.1494590732264455,0.0025719066881719,0.0159668350076296,0.0262620883470909,0.1630395198714752,0.0025719066881719,1.0162259114587398,36,0.000188764829847,0.0011908991215384,0.1031064624544925
0.9,0.1,0.25,32.328,36.56,11.5625,2,0,True,0.9999999999240958,0.999979334159216,99072,20,48,4,True,0.1066038704283035,0.1255535213101484,0.1268915969877926,0.0189496508818448,0.1509288682954141,0.0013380756776442,0.0105450298475866,0.020287726559489,0.1598823487219632,0.0013380756776442,1.0106574125813552,36,0.0001208527589062,0.000962559692832,0.0972547827812211
0.9,0.1,0.25,32.328,36.56,11.5625,3,0,True,0.9999999999684024,0.999865943606698,99072,20,48,4,True,0.0286019442426161,0.0327885649577515,0.0381735458992027,0.0041866207151353,0.1276853903344003,0.0053849809414512,0.1410657777422689,0.0095716016565865,0.2507391291828219,0.0053849809414512,1.164233504832854,36,7.197472513142955e-05,0.002195116658023,3.080039050110706
0.9,0.1,0.5,32.328,36.56,17.499999999999996,0,0,True,0.9999999995963458,0.9999786753225092,94464,20,48,4,True,0.2722421555898822,0.38717671888632,0.4060872284107562,0.1149345632964377,0.2968529813131249,0.0189105095244361,0.0465676046952854,0.1338450728208739,0.3295968537220037,0.0189105095244361,1.0488420625569397,36,0.0009890615650514,0.0025545481347544,0.1766727302629177
0.9,0.1,0.5,32.328,36.56,17.499999999999996,1,0,True,0.9999999997971448,0.999978338817858,94464,20,48,4,True,0.2787894241841978,0.3971446826189453,0.4029742700750847,0.1183552584347474,0.2980154679505244,0.0058295874561393,0.0144664011800385,0.1241848458908868,0.3081706578133337,0.0058295874561393,1.0146787498643983,36,0.0009636872074907,0.0024265393688158,0.1760333436059885
0.9,0.1,0.5,32.328,36.56,17.499999999999996,2,0,True,0.9999999999489788,0.9999169867802764,94464,20,48,4,True,0.2364526228763618,0.3373011757525104,0.3337589220390748,0.1008485528761485,0.2989866627388948,0.0035422537134355,0.0106132105526779,0.097306299162713,0.2915466605903073,-0.0035422537134355,0.9894982467655712,36,0.0008949819205099,0.0026533614017599,0.1697650084813861
0.9,0.1,0.5,32.328,36.56,17.499999999999996,3,0,True,0.9999999999776312,0.999488516797552,94464,20,48,4,True,0.1194657258493345,0.1665947178795352,0.1739871361103648,0.0471289920302007,0.282896076358674,0.0073924182308295,0.042488303423423,0.0545214102610303,0.3133646054524738,0.0073924182308295,1.0443736651733162,36,0.0009902409731938,0.0059440118258127,0.0371468904512335
0.3,0.1,0.25,19.632,23.864000000000004,11.562500000000009,0,0,True,0.9999999982745046,0.9991489122382532,99648,20,48,4,True,-0.1385216561433014,-0.2208326270090814,-0.248680446813882,0.0823109708657799,0.3727301168336644,0.0278478198048005,0.111982345864299,0.1101587906705805,0.4429732698406555,-0.0278478198048005,1.126103738301566,36,1.5883139679373492e-05,7.19238814231935e-05,0.1501603918502751
0.3,0.1,0.25,19.632,23.864000000000004,11.562500000000009,1,0,True,0.9999999991684908,0.999170222238963,99648,20,48,4,True,-0.1394095279123493,-0.2139833612386661,-0.2476434309166545,0.0745738333263167,0.3485029531952295,0.0336600696779884,0.1359215124479391,0.1082339030043051,0.4370554171522997,-0.0336600696779884,1.1573022756682734,36,6.648190874036786e-06,3.106872812705158e-05,0.1393995592758071
