xi_d,s_bar,sigma_rel,n_real,seed,abs_err_xi_mm_median,abs_err_xi_mm_iqr,abs_err_xi_mm_p90,abs_err_xi_mm_p95,abs_err_s_pp_median,abs_err_s_pp_p95,bias_xi_mm,bias_s_pp,std_xi_mm,std_s_pp,crlb_xi_mm,crlb_s_pp,ratio_std_over_crlb_xi,ratio_std_over_crlb_s,boundary_hit_prob,coverage95_xi,coverage95_s,cond2,mass_coupling,n_starts,free_w,truth_model,corr_xi_s,ellipse_major,ellipse_minor,ellipse_angle_deg,n_real_requested,reduced,surrogate_half_xi,loo_xi_resid_rel_median,loo_xi_resid_rel_p95,width_transfer_resid_rel_median
0.25,0.135,0.0003,1000,20260825,0.027704271456139455,0.03610918818745066,0.07142620666504298,0.08637582611163294,0.0600162525817155,0.18246590387589715,2.3668223609973004e-05,0.0014494157578089585,0.042729749065441566,0.09207514938377422,0.043649859226984444,0.0949211590053624,0.978920661421651,0.9700171210359178,0.0,0.946,0.953,11.089010325172566,exact,4,False,self_consistent_linear,0.9699697548915048,0.0022099181262639237,0.00020463981982137483,-155.9221641150723,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.135,0.001,1000,20260826,0.0972557106300416,0.12147122883978087,0.24429722599718162,0.29994211281737,0.21301599776303165,0.6399512860356232,-0.0060864702626099824,-0.0076269564420779045,0.14764496750926923,0.32015898430668355,0.14549953075661476,0.3164038633512079,1.0147453173319387,1.011868126121164,0.0,0.938,0.942,11.089010325172575,exact,4,False,self_consistent_linear,0.9725670445856927,0.007646866396419531,0.0006795749498309223,-155.7471160241296,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.135,0.003,1000,20260827,0.2941424009762622,0.3510354403344665,0.7233047118024681,0.9067750318140482,0.6398709704617602,1.8473591069796533,-0.04023037497013275,-0.00369674715029581,0.4799049540544086,0.9339783707268419,0.4364985922698445,0.9492115900536242,1.0994421575539244,0.9839517137312643,0.001,0.941,0.952,11.089010325172572,exact,4,False,self_consistent_linear,0.8972744142734581,0.02422189627322854,0.003860758504848405,-159.16648146635032,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.0001,1000,20260828,0.008334406450932547,0.010750302990936239,0.021759652753206505,0.025775915699683453,0.01997383018437493,0.0612994907373654,0.0003471631112130694,0.0009799184113992747,0.013017746469237805,0.03158130864569756,0.013117970700516662,0.031759674454219476,0.992359776251451,0.9943838905282538,0.0,0.947,0.951,10.394999358056246,exact,4,False,self_consistent_linear,0.9735964793266209,0.0006885246807518065,6.44155702949484e-05,-153.1910820685416,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.0003,1000,20260829,0.02680471530402684,0.03233343662496902,0.06544275433988984,0.07839043856210083,0.06468313614195614,0.186613820853608,-0.001825779374451719,-0.004534988146556113,0.03941641819603814,0.09526172770378917,0.039353912101549836,0.09527902336265806,1.0015883070106728,0.9998184735919988,0.0,0.946,0.95,10.394999358056243,exact,4,False,self_consistent_linear,0.9738737350326104,0.0020832693343034274,0.00019343402732692965,-153.27640916502605,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.001,1000,20260830,0.08395558339546394,0.10608766823611664,0.21064363428016694,0.24826249522157356,0.20100462105109018,0.6124507108459821,0.0029358174886706828,0.010863887435929094,0.12683700863609132,0.306036241782932,0.1311797070051663,0.31759674454219394,0.9668950444529966,0.9636000590121726,0.0,0.96,0.957,10.394999358056245,exact,4,False,self_consistent_linear,0.9694948000730984,0.006696660859771399,0.000671443137194963,-153.37676076177496,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.25,0.15,0.003,1000,20260831,0.2535439153760126,0.32021219695754843,0.638257225305874,0.7447254882077183,0.6080124082957841,1.7976412446374705,0.0038095370986124637,0.07307578180063969,0.3814380139468123,0.9260131417252374,0.3935391210154992,0.9527902336265828,0.9692505613229483,0.9718961310094203,0.0,0.961,0.956,10.39499935805624,exact,4,False,self_consistent_linear,0.9684644863199928,0.020160464510989008,0.002062949855630426,-153.24726198009986,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.3,0.12,0.0001,1000,20260832,0.009692266920524054,0.012000969141627795,0.023092655012643147,0.02692558772571962,0.02036404291844429,0.05698090271259517,6.348958509271867e-05,0.0006517649466714375,0.014001988189729834,0.029758507877213597,0.013970176851154105,0.02968996139798406,1.0022770891818094,1.0023087426187827,0.0,0.955,0.955,8.833953538064184,exact,4,False,self_consistent_linear,0.95180437274677,0.0007206990086625605,8.380177782973986e-05,-156.49012234987913,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.3,0.12,0.0003,1000,20260833,0.028095764786567785,0.03305030679992127,0.06627110239000468,0.08014446640888621,0.061771866985653456,0.17076654078379433,-2.968030973348229e-05,0.0014747857797870675,0.04137535367073498,0.08839375761726136,0.04191053055346222,0.089069884193952,0.9872304913428726,0.9924090327184174,0.0,0.951,0.955,8.833953538064188,exact,4,False,self_consistent_linear,0.9559678905942367,0.0021326500899652863,0.00023784479552525425,-156.31561248299238,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
0.3,0.12,0.001,1000,20260834,0.08753892024422971,0.11628219740621681,0.2282799291078508,0.27371273851984607,0.18483743901758498,0.5829783287152565,-0.008575271166306433,-0.016114166151966286,0.13745689373331882,0.2909134555858171,0.139701768511541,0.29689961397984055,0.9839309494637015,0.9798377696966966,0.0,0.95,0.949,8.83395353806419,exact,4,False,self_consistent_linear,0.9525889876158488,0.007071124877089296,0.0008131509926284442,-156.56864863170048,1000,False,0.1,0.014496241614285168,0.16178862724753038,0.06845739741129697
